Entity,Code,Year,Poverty
Albania,ALB,1996,0.920669007
Albania,ALB,2002,1.570843359
Albania,ALB,2005,0.860527113
Albania,ALB,2008,0.313649581
Albania,ALB,2012,0.849754448
Albania,ALB,2014,1.58089717
Albania,ALB,2015,0.245097908
Albania,ALB,2016,0.410364223
Albania,ALB,2017,0.428475456
Albania,ALB,2018,0.12077233
Albania,ALB,2019,0
Algeria,DZA,1988,6.250912528
Algeria,DZA,1995,5.624111328
Algeria,DZA,2011,0.449365234
Angola,AGO,2000,36.37447784
Angola,AGO,2008,34.44685654
Angola,AGO,2018,49.9029542
Argentina - urban,,1980,0.479876709
Argentina - urban,,1986,1.224447897
Argentina - urban,,1987,1.430374652
Argentina - urban,,1991,1.281598375
Argentina - urban,,1992,2.461977923
Argentina - urban,,1993,2.818199472
Argentina - urban,,1994,2.67456148
Argentina - urban,,1995,4.924876661
Argentina - urban,,1996,5.302168673
Argentina - urban,,1997,4.82075694
Argentina - urban,,1998,5.575853883
Argentina - urban,,1999,5.529384974
Argentina - urban,,2000,6.791716882
Argentina - urban,,2001,10.67957348
Argentina - urban,,2002,16.94100342
Argentina - urban,,2003,7.86846218
Argentina - urban,,2004,5.741770816
Argentina - urban,,2005,4.169149867
Argentina - urban,,2006,3.261263303
Argentina - urban,,2007,2.605010519
Argentina - urban,,2008,2.486261278
Argentina - urban,,2009,2.342289292
Argentina - urban,,2010,1.442093077
Argentina - urban,,2011,1.13540051
Argentina - urban,,2012,1.155553782
Argentina - urban,,2013,1.015866253
Argentina - urban,,2014,0.928841201
Argentina - urban,,2016,1.07087745
Argentina - urban,,2017,0.918538222
Argentina - urban,,2018,1.369831455
Argentina - urban,,2019,1.300301202
Argentina - urban,,2020,1.640418985
Armenia,ARM,1996,14.21614258
Armenia,ARM,1999,12.21169123
Armenia,ARM,2001,14.36108622
Armenia,ARM,2002,10.51450637
Armenia,ARM,2003,7.851497504
Armenia,ARM,2004,5.475655956
Armenia,ARM,2005,2.685916932
Armenia,ARM,2006,2.142006431
Armenia,ARM,2007,1.628520611
Armenia,ARM,2008,0.892808486
Armenia,ARM,2009,1.334730108
Armenia,ARM,2010,0.974466365
Armenia,ARM,2011,1.208877421
Armenia,ARM,2012,0.916995521
Armenia,ARM,2013,1.76707741
Armenia,ARM,2014,1.541668061
Armenia,ARM,2015,1.260682075
Armenia,ARM,2016,1.162991091
Armenia,ARM,2017,0.880793161
Armenia,ARM,2018,1.409536816
Armenia,ARM,2019,1.078998859
Armenia,ARM,2020,0.388134611
Australia,AUS,1981,0.993503051
Australia,AUS,1985,1.001309756
Australia,AUS,1989,0.744274977
Australia,AUS,1995,0.749782267
Australia,AUS,2001,0.747411616
Australia,AUS,2003,0.997330711
Australia,AUS,2004,0.499275906
Australia,AUS,2008,0.36123244
Australia,AUS,2010,0.349168412
Australia,AUS,2014,0.498483803
Australia,AUS,2016,0.498741779
Australia,AUS,2018,0.497093972
Austria,AUT,1987,0
Austria,AUT,1994,0.248399214
Austria,AUT,1995,0.994031531
Austria,AUT,1997,0.209077565
Austria,AUT,2000,0.241608771
Austria,AUT,2003,0.332203258
Austria,AUT,2004,0.081652888
Austria,AUT,2005,0.153690105
Austria,AUT,2006,0.090110007
Austria,AUT,2007,0.372291729
Austria,AUT,2008,0.47116702
Austria,AUT,2009,0.65623472
Austria,AUT,2010,0.490702532
Austria,AUT,2011,0.41540423
Austria,AUT,2012,0.616917369
Austria,AUT,2013,0.337997855
Austria,AUT,2014,0.224260216
Austria,AUT,2015,0.67719302
Austria,AUT,2016,0.664063548
Austria,AUT,2017,0.31808962
Austria,AUT,2018,0.56835837
Austria,AUT,2019,0.640638887
Azerbaijan,AZE,1995,7.080844425
Azerbaijan,AZE,2001,2.582734896
Azerbaijan,AZE,2002,0.042838097
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Bangladesh,BGD,1983,38.80491799
Bangladesh,BGD,1985,34.18285156
Bangladesh,BGD,1988,43.22452977
Bangladesh,BGD,1991,43.47000143
Bangladesh,BGD,1995,35.0381327
Bangladesh,BGD,2000,34.22189767
Bangladesh,BGD,2005,25.1178424
Bangladesh,BGD,2010,19.17757704
Bangladesh,BGD,2016,14.32454636
Belarus,BLR,1993,0.089329834
Belarus,BLR,1995,0.723968506
Belarus,BLR,1998,11.7964026
Belarus,BLR,1999,10.6027682
Belarus,BLR,2000,7.331884927
Belarus,BLR,2001,3.223238509
Belarus,BLR,2002,2.124368982
Belarus,BLR,2003,1.444169471
Belarus,BLR,2004,0.320860368
Belarus,BLR,2005,0.372049536
Belarus,BLR,2006,0.107735535
Belarus,BLR,2007,0.083754151
Belarus,BLR,2008,0
Belarus,BLR,2009,0.028866528
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0
Belarus,BLR,2014,0
Belarus,BLR,2015,0
Belarus,BLR,2016,0
Belarus,BLR,2017,0
Belarus,BLR,2018,0
Belarus,BLR,2019,0
Belarus,BLR,2020,0
Belgium,BEL,1985,0.240187781
Belgium,BEL,1988,0.477808914
Belgium,BEL,1992,0.983283828
Belgium,BEL,1995,0.41241007
Belgium,BEL,1997,0.492479403
Belgium,BEL,2000,0.305506009
Belgium,BEL,2003,0.294419303
Belgium,BEL,2004,0.052021959
Belgium,BEL,2005,0.193070232
Belgium,BEL,2006,0.168941521
Belgium,BEL,2007,0.151451473
Belgium,BEL,2008,0.11841666
Belgium,BEL,2009,0.107580909
Belgium,BEL,2010,0.137115283
Belgium,BEL,2011,0.168268179
Belgium,BEL,2012,0.156571454
Belgium,BEL,2013,0.144508056
Belgium,BEL,2014,0.076495959
Belgium,BEL,2015,0.070758548
Belgium,BEL,2016,0.059816154
Belgium,BEL,2017,0.147868582
Belgium,BEL,2018,0.081113596
Belgium,BEL,2019,0.078552465
Belize,BLZ,1993,10.06149875
Belize,BLZ,1994,9.748367269
Belize,BLZ,1995,12.28684026
Belize,BLZ,1996,13.26205959
Belize,BLZ,1997,16.00053984
Belize,BLZ,1998,14.1631322
Belize,BLZ,1999,13.9180823
Benin,BEN,2003,51.42711015
Benin,BEN,2011,53.19271812
Benin,BEN,2015,49.60588586
Benin,BEN,2018,19.16538004
Bhutan,BTN,2003,17.76282503
Bhutan,BTN,2007,8.178762882
Bhutan,BTN,2012,2.184337539
Bhutan,BTN,2017,1.542608002
Bolivia,BOL,1997,19.25502198
Bolivia,BOL,1999,25.18191748
Bolivia,BOL,2000,28.56730051
Bolivia,BOL,2001,22.78254981
Bolivia,BOL,2002,24.56301141
Bolivia,BOL,2004,13.56689739
Bolivia,BOL,2005,19.19925367
Bolivia,BOL,2006,16.07259822
Bolivia,BOL,2007,12.44287638
Bolivia,BOL,2008,11.00038372
Bolivia,BOL,2009,10.34468752
Bolivia,BOL,2011,7.20750609
Bolivia,BOL,2012,8.160950094
Bolivia,BOL,2013,6.884085929
Bolivia,BOL,2014,5.714682673
Bolivia,BOL,2015,6.298490917
Bolivia,BOL,2016,7.465656071
Bolivia,BOL,2017,6.546305612
Bolivia,BOL,2018,4.903887861
Bolivia,BOL,2019,3.241089103
Bolivia,BOL,2020,4.407184692
Bolivia - urban,,1990,6.991025391
Bolivia - urban,,1992,15.00501509
Bosnia and Herzegovina,BIH,2001,0.311238987
Bosnia and Herzegovina,BIH,2004,0.16045823
Bosnia and Herzegovina,BIH,2007,0.058264243
Bosnia and Herzegovina,BIH,2011,0.058986505
Botswana,BWA,1985,40.91812897
Botswana,BWA,1993,33.27971191
Botswana,BWA,2002,28.17265219
Botswana,BWA,2009,17.24403363
Botswana,BWA,2015,14.49206031
Brazil,BRA,1981,21.29102971
Brazil,BRA,1982,21.69853372
Brazil,BRA,1983,27.41321672
Brazil,BRA,1984,26.72385323
Brazil,BRA,1985,23.06653266
Brazil,BRA,1986,10.45891668
Brazil,BRA,1987,17.6862557
Brazil,BRA,1988,20.03822486
Brazil,BRA,1989,18.23772226
Brazil,BRA,1990,21.50986003
Brazil,BRA,1992,20.74994107
Brazil,BRA,1993,19.83236282
Brazil,BRA,1995,12.94311842
Brazil,BRA,1996,14.11620739
Brazil,BRA,1997,13.95359709
Brazil,BRA,1998,12.68999634
Brazil,BRA,1999,13.32769408
Brazil,BRA,2001,11.53427493
Brazil,BRA,2002,10.24321168
Brazil,BRA,2003,11.0143276
Brazil,BRA,2004,9.679778148
Brazil,BRA,2005,8.57830153
Brazil,BRA,2006,7.168618041
Brazil,BRA,2007,6.749157814
Brazil,BRA,2008,5.53588836
Brazil,BRA,2009,5.37764822
Brazil,BRA,2011,4.696337493
Brazil,BRA,2012,3.891609187
Brazil,BRA,2013,3.216257174
Brazil,BRA,2014,2.879860538
Brazil,BRA,2015,3.369441248
Brazil,BRA,2016,4.113851171
Brazil,BRA,2017,4.662484282
Brazil,BRA,2018,4.664830817
Brazil,BRA,2019,4.859448925
Brazil,BRA,2020,1.726709799
Bulgaria,BGR,1989,0.052716064
Bulgaria,BGR,1992,0
Bulgaria,BGR,1994,0.254091797
Bulgaria,BGR,1995,1.1042098
